-13.2727,-13.4448,-15.8596,-17.163,-17.63,-20.754,-19.4639
-16.7396,-16.8906,-19.431,-20.497,-21.4926,-23.9837,-24.3139
-13.0909,-13.2584,-17.3102,-18.5813,-20.1436,-23.0537,-23.1892
-18.6113,-18.744,-21.6717,-22.4738,-23.7844,-25.5235,-26.6293
-16.9279,-17.0766,-21.3015,-22.0757,-23.4437,-25.1647,-26.5474
-14.6186,-14.7771,-17.402,-18.5817,-19.4931,-22.2404,-21.8612
-10.9402,-11.1197,-14.929,-16.3966,-17.8571,-21.3441,-20.4446
-12.1798,-12.3647,-17.8667,-19.1692,-21.6201,-24.2024,-25.1646
-21.3524,-21.5019,-22.9704,-24.0597,-24.6038,-27.2087,-27.8411
-17.1233,-17.3255,-21.067,-22.4647,-23.7972,-26.8181,-26.617
-10.9932,-11.1581,-16.4964,-17.7668,-20.0741,-22.8607,-23.3008
-19.5706,-19.7847,-23.5942,-25.1701,-25.817,-29.5421,-27.5662
-19.2965,-19.5067,-22.5935,-24.2569,-24.9459,-28.9756,-27.2343
-21.219,-21.3279,-22.2737,-23.0978,-23.5384,-25.7247,-26.1466
-22.4129,-22.5887,-26.1027,-27.4201,-28.8254,-31.8213,-31.9507
-16.2415,-16.4293,-21.1321,-22.5912,-24.758,-27.9802,-28.1918
-13.5146,-13.6898,-18.5177,-19.6522,-21.6302,-23.8072,-25.1509
-14.5455,-14.7024,-16.6827,-17.9382,-18.2328,-21.4064,-19.9528
-17.0132,-17.1712,-22.2456,-23.2087,-24.7993,-26.9051,-27.8964
-22.9295,-23.104,-24.7633,-26.0643,-26.5613,-29.5747,-30.4348
-19.4423,-19.6386,-23.2311,-24.6605,-25.4752,-28.8917,-27.3544
-15.7377,-15.8929,-20.4921,-21.3996,-23.1356,-24.963,-26.351
-16.181,-16.3639,-20.1139,-21.5191,-23.0743,-26.2865,-26.0711
-20.9342,-21.0983,-24.4235,-25.6828,-26.9337,-29.8799,-29.8582
